,tweets
0,dedee busy in life thanks for asking
1,life goes on
2,2 years rip my brothers raqqa
3,raqqa will be free one day
4,raqqasl raqqa photo shows the destruction in al wadi street downtown raqqa city due airstrikes by coalition and sdf aillery shell
5,raqqasl 5-raqqa sdf officers are using narcotic pills and drugs during the toure of the detained as well syria
6,raqqasl 4-raqqa a lot of pain and lose their consciousness due the sever pain and being forced to admit crimes and things they didn
7,raqqasl 3-raqqa in addiction of burning penis with cigarets and forcing the detainees to sit down over an iron stick in inappropri
8,raqqasl 2-raqqa that leads to bone fractures in some cases sdf prevented the detainees of treatment resulting in severe illness a
9,raqqasl 1-raqqa detainees being toured in sdf prisons in tabqah city they were subjected to electric shocks heavy spanking with
10,4-i dont know how to explain these moments for the people of raqqa but they paid a heavy price - raqqa is being slaughtered loudly
11,3-less than 50 thousand civilians stayed in raqqa civilians tried to stay in raqqa to the last moment they are leaving with tears
12,2-for missing people everyday a lot of civilians getting killed a lot of airstrikes chaos mess no food no water no electricity
13,1-death destruction everything is destroyed empty streets most of the people were forced to flee raqqa receiving dozen of messages
14,like this day raqqa is being slaughtered silently staed i cant forget this day 16 april 2014 syria raqqa rbss
15,hello twitter its been a while
16,music is baqiea forever isis is isil
17,raqqa isis syria
18,raqqa 4 airstrikes west tabqah on qareaa village syria is isil isis
19,raqqa isis syria
20,raqqa isis whipped 2 men downtown the city syria isis isil
21,raqqa 2 major explosion on the outskis of the city no sound of warplanes syria isis is
22,raqqa isis syria 24
23,raqqa today daily life under isis syria
24,raqqa isis forbidden tvs inside the shops syria isil
25,raqqa then what is next
26,raqqa fouh airstrike noh raqqa destroy a small bridge al-asadea bridge syria is isis isil
27,raqqa isis syria
28,raqqa the airstrikes places is 1-behind the islamic bank 2-near naem roundabout 3-near the stadium syria is isis
29,raqqa third airstrike inside raqqa city and major explosion syria isis
30,raqqa isis is making small checkpoints and stop people in wadi street searching cell phones and looking for activists syria is
31,raqqa isis launch siren in the city and warplanes still flying over the city syria is
32,raqqa isis syria
33,breaking secound airstrike inside raqqa city and major explosion syria isis
34,raqqa isis syria
35,breaking airstrike inside raqqa city and major explosion syria isis
36,raqqa isis syria
37,raqqa warplanes are flying over raqqa city syria isis
38,how the the syrian children study lt3 god bless you you are the future syria
39,raqqa isis syria ayazdih females are commodity at isis hand
40,raqqa isis syria
41,syria more than 10 civilian got killed by russain airstrikes on shops today in douma in damascus suburbs
42,where is the world douma today civilian got killed by russian airstrikes russiawarcrimes is syria
43,raqqa airstrike by warplanes on tabqah city syria is isil isis
44,raqqa isis syria
45,
46,raqqa isis syria
47,raqqa isis syria
48,raqqa warplanes are flying over raqqa city syria is isil
49,
